judet,localitate,tip artera,denumire artera,numar,codpostal,sector
Bucuresti,Bucuresti,Stradă,"Missail George, scriitor",nr. 1-53,11541,1
Bucuresti,Bucuresti,Stradă,"Missail George, scriitor",nr. 55-T,11542,1
Bucuresti,Bucuresti,Stradă,"Missail George, scriitor",nr. 2-56,11543,1
Bucuresti,Bucuresti,Stradă,"Missail George, scriitor",nr. 58-T,11544,1
Bucuresti,Bucuresti,Stradă,Buzoiani Iani,nr. 2-8,11573,1
Bucuresti,Bucuresti,Stradă,Buzoiani Iani,nr. 10-16,11574,1
Bucuresti,Bucuresti,Stradă,Buzoiani Iani,nr. 18-24,11575,1
Bucuresti,Bucuresti,Stradă,Buzoiani Iani,nr. 26-28,11576,1
Bucuresti,Bucuresti,Stradă,Buzoiani Iani,nr. 30-36,11577,1
Bucuresti,Bucuresti,Stradă,Pleşoianu Virgil,nr. 1-31,11591,1
Bucuresti,Bucuresti,Stradă,Pleşoianu Virgil,nr. 33-55,11592,1
Bucuresti,Bucuresti,Stradă,Pleşoianu Virgil,nr. 57-87,11593,1
Bucuresti,Bucuresti,Stradă,Pleşoianu Virgil,nr. 89-T,11594,1
Bucuresti,Bucuresti,Stradă,Pleşoianu Virgil,nr. 2-30,11595,1
Bucuresti,Bucuresti,Stradă,Pleşoianu Virgil,nr. 32-52,11596,1
Bucuresti,Bucuresti,Stradă,Pleşoianu Virgil,nr. 54-108,11597,1
Bucuresti,Bucuresti,Stradă,Pleşoianu Virgil,nr. 110-T,11598,1
Bucuresti,Bucuresti,Stradă,Istrati Panait,nr. 1-51,11545,1
Bucuresti,Bucuresti,Stradă,Istrati Panait,nr. 53-T,11546,1
Bucuresti,Bucuresti,Stradă,Istrati Panait,nr. 2-50,11547,1
Bucuresti,Bucuresti,Stradă,Istrati Panait,nr. 52-T,11548,1
Bucuresti,Bucuresti,Stradă,Clucereasa Elena,nr. 1-49,11551,1
Bucuresti,Bucuresti,Stradă,Clucereasa Elena,nr. 51-T,11552,1
Bucuresti,Bucuresti,Stradă,Clucereasa Elena,nr. 2-50,11553,1
Bucuresti,Bucuresti,Stradă,Clucereasa Elena,nr. 52-T,11554,1
Bucuresti,Bucuresti,Stradă,Islaz,nr. 1-T,11555,1
Bucuresti,Bucuresti,Stradă,Islaz,nr. 2-T,11556,1
Bucuresti,Bucuresti,Stradă,Crângul cu Arţari,,11557,1
Bucuresti,Bucuresti,Stradă,Caraiman,nr. 1-63,11561,1
Bucuresti,Bucuresti,Stradă,Caraiman,nr. 65-T,11562,1
Bucuresti,Bucuresti,Stradă,Caraiman,nr. 2-50,11563,1
Bucuresti,Bucuresti,Stradă,Caraiman,nr. 52-T,11564,1
Bucuresti,Bucuresti,Stradă,Buzoiani Iani,nr. 38-T,11578,1
Bucuresti,Bucuresti,Stradă,Gherghel Vasile,nr. 1-33,11581,1
Bucuresti,Bucuresti,Stradă,Gherghel Vasile,nr. 35-59,11582,1
Bucuresti,Bucuresti,Stradă,Gherghel Vasile,nr. 61-T,11583,1
Bucuresti,Bucuresti,Stradă,Gherghel Vasile,nr. 2-20,11584,1
Bucuresti,Bucuresti,Stradă,Gherghel Vasile,nr. 22-52,11585,1
Bucuresti,Bucuresti,Stradă,Gherghel Vasile,nr. 54-T,11586,1
Bucuresti,Bucuresti,Stradă,Turda,nr. 97-119,11322,1
Bucuresti,Bucuresti,Stradă,Turda,nr. 121-123,11323,1
Bucuresti,Bucuresti,Stradă,Turda,nr. 125,11324,1
Bucuresti,Bucuresti,Stradă,Turda,nr. 127,11325,1
Bucuresti,Bucuresti,Stradă,Turda,nr. 129-T,11326,1
Bucuresti,Bucuresti,Stradă,Cluj,nr. 1-65,11491,1
Bucuresti,Bucuresti,Stradă,Cluj,nr. 67-T,11492,1
Bucuresti,Bucuresti,Stradă,Cluj,nr. 2-T,11493,1
Bucuresti,Bucuresti,Stradă,Sfânta Maria,nr. 1-41,11494,1
Bucuresti,Bucuresti,Stradă,Sfânta Maria,nr. 43-T,11495,1
Bucuresti,Bucuresti,Stradă,Sfânta Maria,nr. 2-42,11496,1
Bucuresti,Bucuresti,Stradă,Sfânta Maria,nr. 44-T,11497,1
Bucuresti,Bucuresti,Stradă,Golescu Iordache,nr. 13-T,11302,1
Bucuresti,Bucuresti,Stradă,Golescu Iordache,nr. 12-T,11304,1
Bucuresti,Bucuresti,Stradă,Turda,nr. 100-112,11334,1
Bucuresti,Bucuresti,Stradă,Turda,nr. 114-116,11335,1
Bucuresti,Bucuresti,Stradă,Turda,nr. 118-120,11336,1
Bucuresti,Bucuresti,Stradă,Turda,nr. 122-T,11337,1
Bucuresti,Bucuresti,Stradă,Hagi Ghiţă,nr. 1-39,11501,1
Bucuresti,Bucuresti,Stradă,Hagi Ghiţă,nr. 41-T,11502,1
Bucuresti,Bucuresti,Stradă,Hagi Ghiţă,nr. 2-46,11503,1
Bucuresti,Bucuresti,Stradă,Hagi Ghiţă,nr. 48-T,11504,1
Bucuresti,Bucuresti,Stradă,Knappe Carol,nr. 1-45,11505,1
Bucuresti,Bucuresti,Stradă,Knappe Carol,nr. 47-T,11506,1
Bucuresti,Bucuresti,Stradă,Knappe Carol,nr. 2-50,11507,1
Bucuresti,Bucuresti,Stradă,Knappe Carol,nr. 52-T,11508,1
Bucuresti,Bucuresti,Intrare,Knappe Carol,,11509,1
